year,locale,metro_nonmetro,participation_rate
2009,US,Nonmetropolitan,0.216
2010,US,Nonmetropolitan,0.243
2011,US,Nonmetropolitan,0.248
2012,US,Nonmetropolitan,0.248
2009,US,US (All Areas),0.186
2010,US,US (All Areas),0.202
2011,US,US (All Areas),0.209
2012,US,US (All Areas),0.213
