year,locale,metro_nonmetro,abuse_type,children_per_1000
2006,US,Major Urban,All Abuse,6.4
2006,US,Urban,All Abuse,7.8
2006,US,Rural,All Abuse,10.8
2006,US,Major Urban,Sexual Abuse,1.8
2006,US,Urban,Sexual Abuse,1.4
2006,US,Rural,Sexual Abuse,2.8
2006,US,Major Urban,Emotional Abuse,1.3
2006,US,Urban,Emotional Abuse,2.5
2006,US,Rural,Emotional Abuse,3.4
